hypothesis_id,perm_index,sign_index,phys_x_source,phys_y_source,phys_z_source,sign_x,sign_y,sign_z,mapping_label,sign_label,offset_x_mv,offset_y_mv,offset_z_mv,sens_x_mv_per_g,sens_y_mv_per_g,sens_z_mv_per_g,invalid_sensitivity_count,overall_mean_abs_gnorm_err,overall_max_abs_gnorm_err,total_seq_jumps,pose_axis_match_count,pose_sign_match_count,exact_pose_match_count,average_expected_axis_strength,average_cross_axis_abs,score_global
41,6,1,x,y,z,-1,-1,-1,"phys_x<=mv_x,phys_y<=mv_y,phys_z<=mv_z","[-1,-1,-1]",-2889.42922504188,-1392.61550268994,-1412.13333589896,32.3984926763533,-155.562527613094,-159.681468260784,0,10.5405184712107,29.7288830743171,0,3,6,3,0.999999999999997,5.8201542763316,48.784647273924
42,6,2,x,y,z,1,-1,-1,"phys_x<=mv_x,phys_y<=mv_y,phys_z<=mv_z","[+1,-1,-1]",2889.42922504188,-1392.61550268994,-1412.13333589896,-32.3984926763533,-155.562527613094,-159.681468260784,0,10.5405184712107,29.7288830743171,0,3,6,3,0.999999999999997,5.8201542763316,48.784647273924
43,6,3,x,y,z,-1,1,-1,"phys_x<=mv_x,phys_y<=mv_y,phys_z<=mv_z","[-1,+1,-1]",-2889.42922504188,1392.61550268994,-1412.13333589896,32.3984926763533,155.562527613094,-159.681468260784,0,10.5405184712107,29.7288830743171,0,3,6,3,0.999999999999997,5.8201542763316,48.784647273924
44,6,4,x,y,z,1,1,-1,"phys_x<=mv_x,phys_y<=mv_y,phys_z<=mv_z","[+1,+1,-1]",2889.42922504188,1392.61550268994,-1412.13333589896,-32.3984926763533,155.562527613094,-159.681468260784,0,10.5405184712107,29.7288830743171,0,3,6,3,0.999999999999997,5.8201542763316,48.784647273924
45,6,5,x,y,z,-1,-1,1,"phys_x<=mv_x,phys_y<=mv_y,phys_z<=mv_z","[-1,-1,+1]",-2889.42922504188,-1392.61550268994,1412.13333589896,32.3984926763533,-155.562527613094,159.681468260784,0,10.5405184712107,29.7288830743171,0,3,6,3,0.999999999999997,5.8201542763316,48.784647273924
46,6,6,x,y,z,1,-1,1,"phys_x<=mv_x,phys_y<=mv_y,phys_z<=mv_z","[+1,-1,+1]",2889.42922504188,-1392.61550268994,1412.13333589896,-32.3984926763533,-155.562527613094,159.681468260784,0,10.5405184712107,29.7288830743171,0,3,6,3,0.999999999999997,5.8201542763316,48.784647273924
47,6,7,x,y,z,-1,1,1,"phys_x<=mv_x,phys_y<=mv_y,phys_z<=mv_z","[-1,+1,+1]",-2889.42922504188,1392.61550268994,1412.13333589896,32.3984926763533,155.562527613094,159.681468260784,0,10.5405184712107,29.7288830743171,0,3,6,3,0.999999999999997,5.8201542763316,48.784647273924
48,6,8,x,y,z,1,1,1,"phys_x<=mv_x,phys_y<=mv_y,phys_z<=mv_z","[+1,+1,+1]",2889.42922504188,1392.61550268994,1412.13333589896,-32.3984926763533,155.562527613094,159.681468260784,0,10.5405184712107,29.7288830743171,0,3,6,3,0.999999999999997,5.8201542763316,48.784647273924
33,5,1,x,z,y,-1,-1,-1,"phys_x<=mv_x,phys_y<=mv_z,phys_z<=mv_y","[-1,-1,-1]",-2889.42922504188,-1392.76713938585,-1412.26683054037,32.3984926763533,-155.576715833,-159.085237609478,0,10.540956123965,29.7290901247985,0,3,6,3,0.999999999999997,5.82200355206925,48.7841720421667
34,5,2,x,z,y,1,-1,-1,"phys_x<=mv_x,phys_y<=mv_z,phys_z<=mv_y","[+1,-1,-1]",2889.42922504188,-1392.76713938585,-1412.26683054037,-32.3984926763533,-155.576715833,-159.085237609478,0,10.540956123965,29.7290901247985,0,3,6,3,0.999999999999997,5.82200355206925,48.7841720421667
35,5,3,x,z,y,-1,1,-1,"phys_x<=mv_x,phys_y<=mv_z,phys_z<=mv_y","[-1,+1,-1]",-2889.42922504188,1392.76713938585,-1412.26683054037,32.3984926763533,155.576715833,-159.085237609478,0,10.540956123965,29.7290901247985,0,3,6,3,0.999999999999997,5.82200355206925,48.7841720421667
36,5,4,x,z,y,1,1,-1,"phys_x<=mv_x,phys_y<=mv_z,phys_z<=mv_y","[+1,+1,-1]",2889.42922504188,1392.76713938585,-1412.26683054037,-32.3984926763533,155.576715833,-159.085237609478,0,10.540956123965,29.7290901247985,0,3,6,3,0.999999999999997,5.82200355206925,48.7841720421667
37,5,5,x,z,y,-1,-1,1,"phys_x<=mv_x,phys_y<=mv_z,phys_z<=mv_y","[-1,-1,+1]",-2889.42922504188,-1392.76713938585,1412.26683054037,32.3984926763533,-155.576715833,159.085237609478,0,10.540956123965,29.7290901247985,0,3,6,3,0.999999999999997,5.82200355206925,48.7841720421667
38,5,6,x,z,y,1,-1,1,"phys_x<=mv_x,phys_y<=mv_z,phys_z<=mv_y","[+1,-1,+1]",2889.42922504188,-1392.76713938585,1412.26683054037,-32.3984926763533,-155.576715833,159.085237609478,0,10.540956123965,29.7290901247985,0,3,6,3,0.999999999999997,5.82200355206925,48.7841720421667
39,5,7,x,z,y,-1,1,1,"phys_x<=mv_x,phys_y<=mv_z,phys_z<=mv_y","[-1,+1,+1]",-2889.42922504188,1392.76713938585,1412.26683054037,32.3984926763533,155.576715833,159.085237609478,0,10.540956123965,29.7290901247985,0,3,6,3,0.999999999999997,5.82200355206925,48.7841720421667
40,5,8,x,z,y,1,1,1,"phys_x<=mv_x,phys_y<=mv_z,phys_z<=mv_y","[+1,+1,+1]",2889.42922504188,1392.76713938585,1412.26683054037,-32.3984926763533,155.576715833,159.085237609478,0,10.540956123965,29.7290901247985,0,3,6,3,0.999999999999997,5.82200355206925,48.7841720421667
17,3,1,y,z,x,-1,-1,-1,"phys_x<=mv_y,phys_y<=mv_z,phys_z<=mv_x","[-1,-1,-1]",-1326.88228021774,-1392.76713938585,-3000.22482477069,28.6671092450292,-155.576715833,-113.266336845473,0,5.07418743120868,10.7473721271473,0,1,6,1,1,3.74416999742438,43.7456191798165
18,3,2,y,z,x,1,-1,-1,"phys_x<=mv_y,phys_y<=mv_z,phys_z<=mv_x","[+1,-1,-1]",1326.88228021774,-1392.76713938585,-3000.22482477069,-28.6671092450292,-155.576715833,-113.266336845473,0,5.07418743120868,10.7473721271473,0,1,6,1,1,3.74416999742438,43.7456191798165
19,3,3,y,z,x,-1,1,-1,"phys_x<=mv_y,phys_y<=mv_z,phys_z<=mv_x","[-1,+1,-1]",-1326.88228021774,1392.76713938585,-3000.22482477069,28.6671092450292,155.576715833,-113.266336845473,0,5.07418743120868,10.7473721271473,0,1,6,1,1,3.74416999742438,43.7456191798165
20,3,4,y,z,x,1,1,-1,"phys_x<=mv_y,phys_y<=mv_z,phys_z<=mv_x","[+1,+1,-1]",1326.88228021774,1392.76713938585,-3000.22482477069,-28.6671092450292,155.576715833,-113.266336845473,0,5.07418743120868,10.7473721271473,0,1,6,1,1,3.74416999742438,43.7456191798165
21,3,5,y,z,x,-1,-1,1,"phys_x<=mv_y,phys_y<=mv_z,phys_z<=mv_x","[-1,-1,+1]",-1326.88228021774,-1392.76713938585,3000.22482477069,28.6671092450292,-155.576715833,113.266336845473,0,5.07418743120868,10.7473721271473,0,1,6,1,1,3.74416999742438,43.7456191798165
